instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,,225494.96316238024,225494.96316,2.3802276700735092e-06,1.0555569121003461e-11,1,1,,1,0.0,0,0.033223,0.0028911,86,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:12:51+00:00,pricing=devex ratio_test=harris
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,,-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,,1,0.0,0,0.031314,0.0005587,15,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:12:51+00:00,pricing=devex ratio_test=harris
agg,d7844795d0c799f5cdc1416c8d242f5e8f351f5a3271f42a2d428f170abf1f03,488,163,2410,optimal,,-35991767.286576495,-35991767.287,0.00042350590229034424,1.1766743736513097e-11,1,1,,1,0.0,0,0.038258,0.0113157,119,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:12:51+00:00,pricing=devex ratio_test=harris
bandm,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,305,472,2494,optimal,,-158.62801845012075,-158.62801845,1.2073542166035622e-10,7.611229267067492e-13,1,1,,1,0.0,0,0.062838,0.0355095,506,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:12:51+00:00,pricing=devex ratio_test=harris
beaconfd,7138e7b58b1d6160f1ad42112a61ed00b5db1c92d73dc48d77f6a26fc717dbfc,173,262,3375,optimal,,33592.4858072,33592.485807,2.00001522898674e-07,5.953757755462018e-12,1,1,,1,0.0,0,0.037584,0.0074443,94,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:12:51+00:00,pricing=devex ratio_test=harris
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,,-30.812149845828227,-30.812149846,1.7177370637000422e-10,5.574869239197332e-12,1,1,,1,0.0,0,0.034494,0.0045075,212,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:12:51+00:00,pricing=devex ratio_test=harris
boeing1,1d9d58afaf41bad6866d5355330b261d3776ca86753d121eb9b688ee6128ab9e,351,384,3485,optimal,,-335.2135675071269,-335.21356751,2.8730937629006803e-09,8.570935192875123e-12,1,1,,1,0.0,0,0.040822,0.0178157,562,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:12:51+00:00,pricing=devex ratio_test=harris
boeing2,e12e729b8c09bf6e6934af40b728e460d4eb360c42419b791b68fb2271ddd61a,166,143,1196,optimal,,-315.01872801520267,-315.01872802,4.797357178176753e-09,1.5228799913991706e-11,1,1,,1,0.0,0,0.023903,0.0028125,179,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:12:51+00:00,pricing=devex ratio_test=harris
bore3d,c7cfe0d4abd466346e3cda4e16d00651f44f3ce1da317cf583c5fed5dfc0515a,233,315,1429,optimal,,1373.080394208493,1373.0803942,8.493088898831047e-09,6.185427258816399e-12,1,1,,1,0.0,0,0.0295,0.0051775,180,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:12:51+00:00,pricing=devex ratio_test=harris
brandy,56fa020b84a0a106b7883b7da006c2852449598898c41ec8dd2575151d0e0917,220,249,2148,optimal,,1518.5098964881265,1518.5098965,1.1873453331645578e-08,7.819147809976475e-12,1,1,,1,0.0,0,0.038744,0.0154106,268,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:12:51+00:00,pricing=devex ratio_test=harris
