instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc
25fv47,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,821,1571,10400,optimal,,5501.84588828667,5501.8458883,1.333046384388581e-08,2.422907532221836e-12,1,1,,1,0.0,0,2.136917,2.0269575,4393,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
80bau3b,22aef70f5ce164435b15c5c0aa3be93a99932dc136eb936eb17835a661087b9f,2262,9799,21002,optimal,,987224.1924090903,987232.16072,7.968310909694992,8.07136479820877e-06,0,1,,0,0.0,0,4.724272,4.5857026,10216,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,,225494.96316238042,225494.96316,2.3804022930562496e-06,1.055634351959886e-11,1,1,,1,0.0,0,0.038907,0.0035523,158,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,,-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,,1,0.0,0,0.0353,0.0006339,14,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
agg,d7844795d0c799f5cdc1416c8d242f5e8f351f5a3271f42a2d428f170abf1f03,488,163,2410,optimal,,-35991767.286576495,-35991767.287,0.00042350590229034424,1.1766743736513097e-11,1,1,,1,0.0,0,0.068232,0.0181408,141,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
agg2,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,516,302,4284,optimal,,-20239252.355977118,-20239252.356,2.2880733013153076e-05,1.130512758608398e-12,1,1,,1,0.0,0,0.094692,0.0288007,218,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
agg3,1a6e78a0b7d210c935c97527ce49449d0655f9605fcbc33bfdfc93952f3b12d1,516,302,4300,optimal,,10312115.935089225,10312115.935,8.92244279384613e-05,8.652387977488473e-12,1,1,,1,0.0,0,0.429867,0.3478265,233,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
bandm,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,305,472,2494,optimal,,-158.62801845012075,-158.62801845,1.2073542166035622e-10,7.611229267067492e-13,1,1,,1,0.0,0,0.091385,0.0336883,476,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
beaconfd,7138e7b58b1d6160f1ad42112a61ed00b5db1c92d73dc48d77f6a26fc717dbfc,173,262,3375,optimal,,33592.4858072,33592.485807,2.00001522898674e-07,5.953757755462018e-12,1,1,,1,0.0,0,0.046726,0.0060416,93,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,,-30.812149845828245,-30.812149846,1.7175594280161022e-10,5.574292727383558e-12,1,1,,1,0.0,0,0.047806,0.0088715,287,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
bnl1,7a842adca058eaa3cb712b3bbae357602f22df6cc318c4d278f6600167fe2300,643,1175,5121,optimal,,1977.6295615228855,1977.6292856,0.0002759228855211404,1.3952204669007375e-07,1,1,,1,0.0,0,0.42998,0.3705531,3149,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
bnl2,eafd7e49005db1a020d420b3fbed2e124bebf46740c0b2550edcbaa17b07ad6b,2324,3489,13999,optimal,,1811.2365403585468,1811.2365404,4.1453176891081966e-08,2.2886672152676037e-11,1,1,,1,0.0,0,3.935332,3.8535522,7154,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
boeing1,1d9d58afaf41bad6866d5355330b261d3776ca86753d121eb9b688ee6128ab9e,351,384,3485,optimal,,-335.2135675071272,-335.21356751,2.8728095458063763e-09,8.570087324167377e-12,1,1,,1,0.0,0,0.105873,0.0507931,823,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
boeing2,e12e729b8c09bf6e6934af40b728e460d4eb360c42419b791b68fb2271ddd61a,166,143,1196,optimal,,-315.0187280152027,-315.01872802,4.7973003347578924e-09,1.5228619469421892e-11,1,1,,1,0.0,0,0.108272,0.0061682,208,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
bore3d,c7cfe0d4abd466346e3cda4e16d00651f44f3ce1da317cf583c5fed5dfc0515a,233,315,1429,optimal,,1373.080394208493,1373.0803942,8.493088898831047e-09,6.185427258816399e-12,1,1,,1,0.0,0,0.149648,0.0072512,148,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
brandy,56fa020b84a0a106b7883b7da006c2852449598898c41ec8dd2575151d0e0917,220,249,2148,optimal,,1518.509896488126,1518.5098965,1.1873908078996465e-08,7.819447279444493e-12,1,1,,1,0.0,0,0.279023,0.0097053,314,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
capri,4932bc8861fcdaf19256827b7ee229941fa6f2e84f2044b65300326c226fba78,271,353,1767,optimal,,2690.012913768144,2690.0129138,3.185641617164947e-08,1.1842477040992363e-11,1,1,,1,0.0,0,0.054055,0.015488,370,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
cycle,bfc8edde30952b8dfa354679ea3a3231c2e7eb762c0ff8f0f845505741816d53,1903,2857,20720,optimal,,-5.226393024894101,-5.2263930249,5.899281063648232e-12,1.1287480745405875e-12,1,1,,1,0.0,0,0.700497,0.617495,2121,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
czprob,b1f30bd25705fcc3c4f195d7e627e437788035f81fae9198e3096471b947f704,929,3523,10669,optimal,,2185196.6988565777,2185196.6989,4.342244938015938e-05,1.9871185693268564e-11,1,1,,1,0.0,0,0.262887,0.1799921,1729,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
d2q06c,fb1516a10aba6a4101cea6cec90c1da775ac60d2d2cd96e902bbe21a430790c9,2171,5167,32417,optimal,,122784.21081418535,122784.23615,0.025335814643767662,2.063441972535956e-07,1,1,,1,0.0,0,183.464005,183.284419,42175,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
d6cube,8cd94ee7783bcbce884acde1f4769f5c79739c9460fe73cb948924e724b02dfa,415,6184,37704,time_limit,time limit 120s reached,325.9933552435358,315.49166667,10.50168857353583,0.03328673839274637,0,,,0,0.0,0,240.175883,240.050144,215954,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
degen2,755cf6ca5f3a8ed1b8b68372e8d2d3b5efee784ee69b1dada923c6ff04ee0edb,444,534,3978,optimal,,-1435.178,-1435.178,0.0,0.0,1,1,,1,0.0,0,120.256945,120.1898814,1379,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
degen3,08d600688c524fea548e946af5551ef8c359c7a7e71b8841acc839b00eefadeb,1503,1818,24646,optimal,,-987.2940000000004,-987.294,4.547473508864641e-13,4.605997310694324e-16,1,1,,1,0.0,0,129.813477,129.6917681,11276,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
dfl001,85d47c5f8a5fc53772eabac1805b7a1af72431cad9e14d26d673043980952730,6071,12230,35632,time_limit,time limit 120s reached,193458188.12920836,11266400.0,182191788.12920836,16.171251520379922,0,,,0,0.0,0,240.542489,240.2682535,13661,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
e226,ddf56486daea52c8592b520aeb83d329223a1b45a3e5a269bd663ef9195bd8d8,223,282,2578,optimal,,-11.638929066370558,-18.751929066,7.112999999629441,0.3793209741032113,0,1,,0,7.113,1,0.120098,0.0416009,588,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
etamacro,41701e1add7af2ed2b21a421ab7271bc867e6bc7ad98ac189748d6522e7d4926,400,688,2409,optimal,,-755.7152331580163,-755.71521774,1.5418016346302466e-05,2.040188682770043e-08,1,0,REJECTED: 1 of 11 checks failed,0,0.0,0,0.048469,0.0228716,674,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
fffff800,9d6695686c15d5f1b4f43b2ce8830c1d38df3a204717d8875f144aa21b33901e,524,854,6227,optimal,,555679.5648174962,555679.61165,0.046832503750920296,8.427968701579461e-08,1,1,,1,0.0,0,0.111811,0.0638039,669,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
finnis,891821f24a8cd14af78b95bb460a56f0e0b5410a59ad01ab58d9daf3387e7546,497,614,2310,optimal,,172791.06559561158,172790.96547,0.10012561158509925,5.794609186467163e-07,1,1,,1,0.0,0,0.044901,0.0183355,589,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
fit1d,59cee4fedd040a05c05d8410474ee014f42ef910e083689202be708491fe8717,24,1026,13404,optimal,,-9146.37809242094,-9146.3780924,2.09402060136199e-08,2.2894533554237983e-12,1,1,,1,0.0,0,0.097017,0.0640898,1622,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
